measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,China,Both,All ages,Uterine cancer,Number,2018,471052.7450037284,765554.6098354962,347334.2934832875
Prevalence,China,Both,All ages,Uterine cancer,Rate,2018,33.39235085963,54.26922654624,24.62210170006
Prevalence,China,Both,All ages,Uterine cancer,Number,2019,467898.8083966785,749751.319158276,345274.7798534365
Prevalence,China,Both,All ages,Uterine cancer,Rate,2019,32.99061354503,52.863473001749995,24.34463739718
Prevalence,China,Both,All ages,Uterine cancer,Number,2020,472828.30359875713,766645.6670183172,343779.1954634952
Prevalence,China,Both,All ages,Uterine cancer,Rate,2020,33.19758815783,53.82669971943,24.13696485884
Prevalence,China,Both,All ages,Uterine cancer,Number,2021,516093.7944084297,822012.1795064267,375669.1811985656
Prevalence,China,Both,All ages,Uterine cancer,Rate,2021,36.134895486459996,57.554120039580006,26.302906074770004
Prevalence,China,Both,All ages,Uterine cancer,Number,2022,574803.8251058875,900752.2891351628,416089.16553256736
Prevalence,China,Both,All ages,Uterine cancer,Rate,2022,40.19206841151,62.983397196569996,29.0942465515
Prevalence,China,Both,All ages,Uterine cancer,Number,2023,580164.9707004225,909236.8413476788,427087.73728729616
Prevalence,China,Both,All ages,Uterine cancer,Rate,2023,40.55268335462,63.55432606869,29.852808510550002
Prevalence,China,Both,All ages,Cervical cancer,Number,1990,445795.2147973162,642609.409442234,301749.3751537341
Prevalence,China,Both,All ages,Cervical cancer,Rate,1990,37.80687608524,54.49823934302,25.59067674251
Prevalence,China,Both,All ages,Cervical cancer,Number,1991,450999.6289088383,661488.0790097199,312286.7317058179
Prevalence,China,Both,All ages,Cervical cancer,Rate,1991,37.72724027781,55.33512246582,26.12356154515
Prevalence,China,Both,All ages,Cervical cancer,Number,1992,456569.40596333257,686241.9070729006,319390.5995550045
Prevalence,China,Both,All ages,Cervical cancer,Rate,1992,37.773813989299995,56.775539076559994,26.424462392669998
Prevalence,China,Both,All ages,Cervical cancer,Number,1993,463631.06426917,697142.7167621974,324713.9096208251
Prevalence,China,Both,All ages,Cervical cancer,Rate,1993,38.01892792891,57.167478082020004,26.62736748852
Prevalence,China,Both,All ages,Cervical cancer,Number,1994,471851.77071581455,704971.6515122016,333741.52596278547
Prevalence,China,Both,All ages,Cervical cancer,Rate,1994,38.41771190127,57.398105691699996,27.172910201180002
Prevalence,China,Both,All ages,Cervical cancer,Number,1995,480868.31078796135,713421.6459922071,334207.7838408458
Prevalence,China,Both,All ages,Cervical cancer,Rate,1995,38.92834410084,57.75453008884,27.05554788839
Prevalence,China,Both,All ages,Cervical cancer,Number,1996,489981.4600172291,738518.7048372035,338846.8933998277
Prevalence,China,Both,All ages,Cervical cancer,Rate,1996,39.483650687389996,59.51126103195,27.30493593581
Prevalence,China,Both,All ages,Cervical cancer,Number,1997,501204.21672890673,755898.5424902018,347727.9604394393
Prevalence,China,Both,All ages,Cervical cancer,Rate,1997,40.23535229188,60.681540854759994,27.914683322760002
Prevalence,China,Both,All ages,Cervical cancer,Number,1998,509535.3952301233,773323.3825215716,352482.1233515045
Prevalence,China,Both,All ages,Cervical cancer,Rate,1998,40.76835978218,61.8742607123,28.202394094899997
Prevalence,China,Both,All ages,Cervical cancer,Number,1999,521626.0037060696,798032.4701484512,360766.46767177386
Prevalence,China,Both,All ages,Cervical cancer,Rate,1999,41.60080859597,63.64482561863,28.771910646370003
Prevalence,China,Both,All ages,Cervical cancer,Number,2000,535849.9348943261,811541.9302047021,381452.8176392122
Prevalence,China,Both,All ages,Cervical cancer,Rate,2000,42.584104867200004,64.49340460736,30.31413410816
Prevalence,China,Both,All ages,Cervical cancer,Number,2001,549586.5782711756,834185.5773022203,399741.4577561923
Prevalence,China,Both,All ages,Cervical cancer,Rate,2001,43.48987086218,66.01075147448,31.63233067074
Prevalence,China,Both,All ages,Cervical cancer,Number,2002,560582.8249231186,837166.3611955578,412932.0597031176
Prevalence,China,Both,All ages,Cervical cancer,Rate,2002,44.142910206500005,65.92238981853001,32.516199252730004
Prevalence,China,Both,All ages,Cervical cancer,Number,2003,580224.5960930751,843440.2971155255,431468.7502814451
Prevalence,China,Both,All ages,Cervical cancer,Rate,2003,45.44115680793,66.05528799956,33.7911203201
Prevalence,China,Both,All ages,Cervical cancer,Number,2004,597848.2796028231,854892.4583325894,443328.53038885206
Prevalence,China,Both,All ages,Cervical cancer,Rate,2004,46.543221153830004,66.55442544277,34.51366933329
Prevalence,China,Both,All ages,Cervical cancer,Number,2005,619907.1488956648,840155.6409146325,460821.0846666233
Prevalence,China,Both,All ages,Cervical cancer,Rate,2005,47.94895703218,64.98487200595001,35.643870904799996
Prevalence,China,Both,All ages,Cervical cancer,Number,2006,638306.08292936,861756.4459291936,468336.6467878185
Prevalence,China,Both,All ages,Cervical cancer,Rate,2006,49.02949634600999,66.19314095039,35.97382278891
Prevalence,China,Both,All ages,Cervical cancer,Number,2007,655703.0879266033,893047.2586617037,471301.5847350448
Prevalence,China,Both,All ages,Cervical cancer,Rate,2007,49.99932951074,68.09753526659,35.93816114031
Prevalence,China,Both,All ages,Cervical cancer,Number,2008,659402.3077880117,907364.7780037418,483996.84651674674
Prevalence,China,Both,All ages,Cervical cancer,Rate,2008,49.911685994669995,68.68053894787,36.63484088612
Prevalence,China,Both,All ages,Cervical cancer,Number,2009,660224.9161119558,899676.2115256314,487265.8214806176
Prevalence,China,Both,All ages,Cervical cancer,Rate,2009,49.61815584234,67.61373795768,36.6196895586
Prevalence,China,Both,All ages,Cervical cancer,Number,2010,658627.8461473313,895464.2385348955,481251.4771906424
Prevalence,China,Both,All ages,Cervical cancer,Rate,2010,49.18242598737,66.86796480547,35.93700949131
Prevalence,China,Both,All ages,Cervical cancer,Number,2011,658300.7443260513,887681.4654990428,482788.96744978754
Prevalence,China,Both,All ages,Cervical cancer,Rate,2011,48.88205809032001,65.91470135227,35.84944807621
Prevalence,China,Both,All ages,Cervical cancer,Number,2012,666773.370035004,887314.5733532186,479162.6154812548
Prevalence,China,Both,All ages,Cervical cancer,Rate,2012,49.22244033957,65.50319885604,35.37266830593
Prevalence,China,Both,All ages,Cervical cancer,Number,2013,676089.0689506163,890903.007639169,473967.89319780393
Prevalence,China,Both,All ages,Cervical cancer,Rate,2013,49.59490799756,65.35270976529,34.76819125833
Prevalence,China,Both,All ages,Cervical cancer,Number,2014,700067.7779805096,916920.4903777188,481308.5577525927
Prevalence,China,Both,All ages,Cervical cancer,Rate,2014,51.02410828739001,66.82931547988,35.07994617501
Prevalence,China,Both,All ages,Cervical cancer,Number,2015,728423.0644610696,944865.1319383736,487863.07652974
Prevalence,China,Both,All ages,Cervical cancer,Rate,2015,52.72992422527,68.39798084520001,35.31599191845
Prevalence,China,Both,All ages,Cervical cancer,Number,2016,759471.5559885273,990547.3029795428,483754.0867942457
Prevalence,China,Both,All ages,Cervical cancer,Rate,2016,54.572308352209994,71.17640210408,34.76045545486
Prevalence,China,Both,All ages,Cervical cancer,Number,2017,772592.8484996532,995323.2730284664,490775.9299351997
Prevalence,China,Both,All ages,Cervical cancer,Rate,2017,55.11697651497,71.00662343801001,35.01208360507
Prevalence,China,Both,All ages,Cervical cancer,Number,2018,758145.4250388982,955328.9793746356,486966.2260130767
Prevalence,China,Both,All ages,Cervical cancer,Rate,2018,53.74399853104,67.72209864821,34.52043799403
Prevalence,China,Both,All ages,Cervical cancer,Number,2019,730904.4065021191,933695.8965309666,464628.9220388997
Prevalence,China,Both,All ages,Cervical cancer,Rate,2019,51.534614708469995,65.83303897821,32.760060367230004
Prevalence,China,Both,All ages,Cervical cancer,Number,2020,706973.1751327525,924034.287455046,453815.1318982308
Prevalence,China,Both,All ages,Cervical cancer,Rate,2020,49.63705456729,64.87705893486,31.86266078803
Prevalence,China,Both,All ages,Cervical cancer,Number,2021,729587.6383728727,975124.8849697588,471986.7974631877
Prevalence,China,Both,All ages,Cervical cancer,Rate,2021,51.08291040593,68.27448069788,33.04669380277
Prevalence,China,Both,All ages,Cervical cancer,Number,2022,774728.542250632,1022606.904052592,516414.8995569862
Prevalence,China,Both,All ages,Cervical cancer,Rate,2022,54.17142546808,71.50385027135,36.10933341979
Prevalence,China,Both,All ages,Cervical cancer,Number,2023,752306.3411301534,1011543.6584608715,481273.05956599966
Prevalence,China,Both,All ages,Cervical cancer,Rate,2023,52.58511350779,70.70542303065001,33.64028332859
Prevalence,China,Both,All ages,Breast cancer,Number,1990,1167272.2585451673,1388220.8222711233,973163.811857831
Prevalence,China,Both,All ages,Breast cancer,Rate,1990,98.99369973415,117.73184382525999,82.53180479356
Prevalence,China,Both,All ages,Breast cancer,Number,1991,1209400.853347168,1431002.331496884,1010562.7743360169
Prevalence,China,Both,All ages,Breast cancer,Rate,1991,101.16938831373,119.70690292832,84.53608863366999
Prevalence,China,Both,All ages,Breast cancer,Number,1992,1251980.558022856,1470931.718153122,1054662.989022003
Prevalence,China,Both,All ages,Breast cancer,Rate,1992,103.58136156143999,121.69606720636001,87.25648948085001
Prevalence,China,Both,All ages,Breast cancer,Number,1993,1292500.884343474,1545645.0024504722,1097669.6501656102
Prevalence,China,Both,All ages,Breast cancer,Rate,1993,105.98836393193999,126.74682626041,90.01170658222999
Prevalence,China,Both,All ages,Breast cancer,Number,1994,1342947.7719810707,1631949.154707685,1132327.8816128145
Prevalence,China,Both,All ages,Breast cancer,Rate,1994,109.34150045503,132.87171174112999,92.19303398521
Prevalence,China,Both,All ages,Breast cancer,Number,1995,1395730.044816185,1690964.4838844207,1186062.9088649703
Prevalence,China,Both,All ages,Breast cancer,Rate,1995,112.9903098989,136.8907990279,96.01685951375
Prevalence,China,Both,All ages,Breast cancer,Number,1996,1456155.6837783384,1781204.5863532084,1243040.3637349978
Prevalence,China,Both,All ages,Breast cancer,Rate,1996,117.33983233315,143.53289956703998,100.16658897731
Prevalence,China,Both,All ages,Breast cancer,Number,1997,1515238.2916984723,1847798.5237390453,1299103.5308287228
Prevalence,China,Both,All ages,Breast cancer,Rate,1997,121.63933270660999,148.33639080751,104.28860428921
Prevalence,China,Both,All ages,Breast cancer,Number,1998,1570515.8044332634,1929431.7948807597,1351304.86553672
Prevalence,China,Both,All ages,Breast cancer,Rate,1998,125.65830354106,154.37547680737998,108.11905011768
Prevalence,China,Both,All ages,Breast cancer,Number,1999,1629188.1858566827,1964772.0117863768,1397802.4602075466
Prevalence,China,Both,All ages,Breast cancer,Rate,1999,129.93130213047002,156.69484231292998,111.47778712895
Prevalence,China,Both,All ages,Breast cancer,Number,2000,1683427.344196514,1980206.9339839497,1450153.105082857
Prevalence,China,Both,All ages,Breast cancer,Rate,2000,133.78231831962,157.36745354306,115.24396641483
Prevalence,China,Both,All ages,Breast cancer,Number,2001,1731249.0850941814,2020549.06296117,1490128.997462859
Prevalence,China,Both,All ages,Breast cancer,Rate,2001,136.99715771419,159.89003606185,117.91684919145999
Prevalence,China,Both,All ages,Breast cancer,Number,2002,1763295.5173971965,2042337.1235039248,1519581.7917106396
Prevalence,China,Both,All ages,Breast cancer,Rate,2002,138.8501256753,160.82316518812,119.65896848894
Prevalence,China,Both,All ages,Breast cancer,Number,2003,1813020.8026047868,2091190.8226586487,1592193.960753773
Prevalence,China,Both,All ages,Breast cancer,Rate,2003,141.98943502558998,163.7747360722,124.69505072076001
Prevalence,China,Both,All ages,Breast cancer,Number,2004,1866062.4013736472,2150692.800583307,1641049.2490799038
Prevalence,China,Both,All ages,Breast cancer,Rate,2004,145.27524456821,167.4340699249,127.75769493724
Prevalence,China,Both,All ages,Breast cancer,Number,2005,1954379.475585129,2244764.0057318057,1711764.4521826662
Prevalence,China,Both,All ages,Breast cancer,Rate,2005,151.16853816955,173.62937828669,132.40260305619
Prevalence,China,Both,All ages,Breast cancer,Number,2006,2056633.8889966367,2363041.4915934643,1787634.1725006695
Prevalence,China,Both,All ages,Breast cancer,Rate,2006,157.97393514235,181.50968207267,137.31155862779
Prevalence,China,Both,All ages,Breast cancer,Number,2007,2161403.641233239,2486094.0170114874,1869399.079962024
Prevalence,China,Both,All ages,Breast cancer,Rate,2007,164.81351827315,189.57213446152,142.54729359544
Prevalence,China,Both,All ages,Breast cancer,Number,2008,2236347.121333589,2564023.6723048035,1954400.226597883
Prevalence,China,Both,All ages,Breast cancer,Rate,2008,169.27428669386,194.07688281269,147.93307403655
Prevalence,China,Both,All ages,Breast cancer,Number,2009,2305975.701189681,2644379.9846070465,2035980.8584369896
Prevalence,China,Both,All ages,Breast cancer,Rate,2009,173.30194441024,198.73418130794,153.01091046498001
Prevalence,China,Both,All ages,Breast cancer,Number,2010,2393037.585427383,2736083.191837813,2113402.091766969
Prevalence,China,Both,All ages,Breast cancer,Rate,2010,178.69787106443,204.31448482631,157.81634889551
Prevalence,China,Both,All ages,Breast cancer,Number,2011,2452862.372548033,2816883.248626467,2172770.8936935905
Prevalence,China,Both,All ages,Breast cancer,Rate,2011,182.13705820009,209.16739314035,161.33889253192
Prevalence,China,Both,All ages,Breast cancer,Number,2012,2494706.1059262617,2841089.1241735755,2199060.966960912
Prevalence,China,Both,All ages,Breast cancer,Rate,2012,184.16380734774,209.73444081414002,162.33873773879
Prevalence,China,Both,All ages,Breast cancer,Number,2013,2550170.4090473894,2889816.6190073597,2248987.3016758687
